name,short_url,original_url
Stripe,https://serp.ly/stripe,https://stripe.com/
Shopify,https://serp.ly/shopify,https://accounts.shopify.com/signup?irclickid=1bnXAAwMXxyKRiPTV5QfAV8-Uks1ijz9-Q8Z3g0
Square,https://serp.ly/square,https://squareup.com/us/en
PayPal,https://serp.ly/paypal,http://www.paypal.com/
Authorize.Net,https://serp.ly/authorize-net,https://account.authorize.net/ui/themes/anet/oauth/PricingPage.aspx?resellerId=16673
Helcim,https://serp.ly/helcim,https://www.helcim.com/?af=3b6fce2bae4181&utm_source=partner_merchantalternatives&utm_medium=affiliate
